RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
117.70174,23.2422,0.259,0.24972,6.95,8.7,24.4,30.2,15,12
122.45361,23.47395,0.265,0.27153,6.66,8.21,48.3,59.8,23,25
178.11588,44.37582,0.219,6.36,7.73,32.3,38.9,18,18,
146.5358,3.77802,0.119,0.1183,6.22,7.68,24.9,30.8,20,16
131.35699,49.25562,0.181,6.22,7.78,17.2,21.7,12,11,
225.13157,58.96549,0.275,9.53,11.07,27,32,15,11,
160.14928,4.40866,0.265,0.27201,6.99,8.55,35.3,43.5,20,20
135.66074,26.73348,0.232,7.53,9.52,22.8,28.6,16,14,
251.33702,35.59219,0.127,6.64,8.3,19.4,24.3,17,15,
183.13153,44.26951,0.267,6.78,8.34,23.5,28.5,12,10,
257.34214,28.92067,0.211,6.34,7.78,51.5,63.6,31,36,
125.00995,24.36402,0.275,0.27704,5.66,6.99,30.6,37.6,22,22
224.36919,4.62785,0.3,5.57,6.93,16.7,21.1,14,11,
232.61334,14.03301,0.257,8.79,10.54,37.7,45.6,20,19,
168.64973,15.61028,0.265,6.36,8.03,23.4,29.2,15,13,
221.79304,14.52434,0.113,6.81,8.31,27.1,33.4,16,14,
344.11179,13.43631,0.219,5.26,6.43,40.3,49.5,27,30,
220.72366,31.67856,0.24,5.89,7.09,51.2,61.9,28,31,
142.98617,50.87614,0.254,0.25151,6.09,7.46,34.7,42,19,18
208.69887,36.45576,0.213,6.39,7.84,41.2,50.5,24,24,
251.94254,29.16926,0.135,5.88,7.31,54.8,68.4,37,48,
215.35687,9.8332,0.24,6.55,8.01,41.3,50.8,20,20,
215.0392,13.56338,0.149,7.95,9.91,15.8,19.7,14,12,
249.63365,22.64107,0.181,0.17485,8.26,10.12,23.8,28.8,14,12
184.29727,10.77853,0.27,0.27668,5.39,6.57,38.7,47.5,28,31
174.19095,56.98611,0.113,0.06739,5.97,7.66,51.1,63,29,31
180.91913,31.98592,0.213,6.41,7.83,38.7,47.1,23,24,
248.54189,32.8724,0.173,0.15976,7.66,9.44,29.4,36.2,18,16
242.56484,47.22065,0.243,0.24822,7.03,8.6,18.6,22.7,13,11
246.74183,47.39235,0.273,0.28105,5.24,6.62,18.2,22.8,16,13
151.42084,8.93746,0.297,0.31341,5.27,6.75,26.3,33.1,17,17
150.2567,50.79393,0.13,0.13265,5.83,7.3,46.3,57.6,28,36
151.26164,-0.70901,0.194,0.19614,5.35,6.76,43.5,54.8,23,26
167.68861,21.12534,0.208,6.99,8.44,21.5,26.3,12,10,
140.69962,36.50414,0.251,0.24443,7.48,8.81,27.9,33.2,18,17
223.58399,42.0224,0.208,0.20616,7.44,9.26,19.7,24.4,16,12
24.02589,-9.9479,0.113,0.11323,5.49,6.84,25.4,31.8,19,18
206.52518,5.97135,0.119,5.48,6.82,17.3,21.5,17,15,
151.19436,56.42811,0.24,0.21333,7.51,9.03,26.5,32.3,17,10
166.76359,-0.95569,0.273,0.28361,5.7,7.04,21.4,26.6,13,11
136.36376,4.75182,0.238,0.22523,7.22,8.95,25.8,31.7,15,14
223.39674,44.33419,0.273,0.28051,6.74,8.35,15.9,19.4,14,10
189.20382,8.85372,0.17,0.16548,6.52,8.38,39.3,48.8,24,26
143.8019,11.08818,0.23,6.78,8.17,29.4,36.3,14,13,
198.79267,55.13125,0.297,0.27431,7.8,9.3,25.1,29.4,14,12
137.27003,15.37119,0.184,8.56,10.45,29.8,36.6,20,19,
232.53038,38.0953,0.284,0.27103,5.62,6.77,39.2,47.2,25,25
192.72862,53.2139,0.267,0.26879,6.43,7.83,42.9,52.2,24,24
213.67658,0.87126,0.257,0.2649,7.19,8.89,26.6,32.8,13,11
350.25536,-10.61196,0.278,0.28204,6.61,8.11,18.5,22.6,13,10
167.87682,25.11022,0.122,5.32,6.61,16.2,20.1,16,12,
248.47076,24.58391,0.205,6.01,7.85,77.9,96.5,40,48,
135.93682,41.63908,0.216,0.21893,6.38,7.99,24,29.6,18,16
347.9079,-0.57599,0.265,0.24967,6.72,8.15,21.5,26.2,15,11
6.80979,-11.02685,0.154,0.15021,7.79,9.5,17.7,21.8,14,11
162.85249,6.38843,0.238,0.24651,5.79,7.09,27.8,33.9,18,13
219.62541,8.95259,0.108,5.55,7.06,23.5,29.5,15,13,
215.30541,36.14834,0.178,0.18488,6.29,7.87,32.8,41.3,22,22
219.0836,-1.13024,0.127,0.10597,7.82,9.69,24.9,30.7,17,15
175.16865,41.89455,0.238,0.23706,6.12,7.67,18.4,22.8,14,11
123.28802,53.01745,0.24,6.87,8.31,41.4,51.3,23,23,
206.39606,38.67607,0.3,5.53,6.82,32.4,39.8,20,19,
171.86108,13.77058,0.2,7.21,9.04,17.9,22.3,16,11,
210.91496,7.83627,0.273,7.08,8.6,26.7,32.9,19,17,
125.68607,17.46831,0.3,5.95,7.13,21.4,25.5,14,14,
32.90618,0.38688,0.286,5.53,6.63,24.6,29.7,16,14,
176.07517,38.08,0.176,7.39,9.18,20.7,25.3,15,12,
134.57234,9.36743,0.165,8.1,9.94,23.3,29.2,11,11,
322.11523,0.18205,0.143,0.13824,7.19,8.73,17.9,22,13,10
222.10105,21.17775,0.281,5.43,7.25,19.9,26.2,17,14,
128.56061,8.35086,0.289,0.26956,6.13,7.55,23.3,28.7,14,10
7.16819,14.28134,0.149,6.46,8.05,22.1,27.4,16,13,
60.9821,-5.28719,0.294,0.29149,6.24,7.92,21.3,27.5,16,12
224.98986,27.72406,0.265,7.46,8.89,30.7,36.8,14,12,
179.26036,19.7505,0.178,7.51,9.1,27.3,33.1,17,16,
206.94073,57.5405,0.138,0.1348,5.98,7.51,26.4,33.3,21,20
175.94087,43.62783,0.248,0.23713,6.4,8.15,26.3,32.9,14,14
214.6365,36.65766,0.227,0.21277,8.02,9.73,51.9,62.6,33,36
145.28163,37.80167,0.3,0.29203,5.91,7.27,30.6,37.5,14,11
181.7112,48.17982,0.267,0.27713,7.57,9.22,23.5,29.3,15,12
127.63681,27.14197,0.216,7.52,9.17,19.2,23.1,16,11,
165.88524,3.93987,0.286,0.30446,5.38,6.71,23.6,29.2,19,19
188.19817,26.09474,0.246,6.67,8.05,36.8,44.4,15,14,
182.6545,38.42578,0.186,5.28,6.77,24,30,17,16,
138.26337,18.85516,0.248,7.43,9.18,18.7,23.4,13,10,
121.44956,25.25663,0.146,0.14077,6.03,7.74,30.7,38.7,18,18
213.48171,22.80837,0.146,6.44,7.9,33.9,42.1,23,23,
216.85033,-0.24865,0.165,0.16265,5.97,7.24,27,33.3,21,21
151.3155,0.06967,0.176,0.17643,7.57,9.31,20.5,25.5,17,14
121.88023,26.20852,0.289,0.26803,5.76,6.83,17.9,21.8,15,11
131.66599,31.40125,0.275,0.28378,6.3,7.96,20.7,25.9,15,12
179.67074,-1.06675,0.149,0.13115,7.07,8.84,38.3,47.3,25,26
239.25478,16.03467,0.203,14.61,17.74,33,40.1,18,13,
152.98679,-0.47382,0.184,6.76,8.69,45.1,57.3,29,34,
186.10994,27.39798,0.103,5.91,7.42,30.4,37.9,17,11,
197.36679,11.26018,0.297,0.29687,6.25,7.97,30.2,37.1,19,17
215.02067,62.28753,0.14,0.14142,6.61,8.31,48.6,61.4,29,37
219.72811,17.72784,0.113,5.68,7.01,43.2,53.7,31,36,
222.65974,5.2958,0.157,7.42,9.4,51.1,63.8,40,42,
135.75111,33.56596,0.181,0.17837,7.68,9.43,19.8,24.6,13,10
188.7755,19.26909,0.238,6.9,8.43,40.3,49.5,20,17,
248.81294,43.16777,0.23,0.22577,6.82,8.43,42.4,52.5,24,25
211.72107,27.42468,0.205,6.51,7.86,30.8,37.4,17,17,
156.36158,37.89118,0.259,0.25081,6.17,7.42,20.3,24.6,14,11
161.53493,43.91398,0.257,0.25441,6.28,7.94,55.8,68.5,28,31
143.90115,23.38154,0.23,8.81,11.04,24.2,29.7,18,15,
199.48007,12.46284,0.262,0.26832,5.86,7.18,35.2,43.3,20,20
325.76131,-8.07689,0.135,6.01,7.41,37.1,46,31,37,
124.45219,17.42972,0.151,7.11,8.96,20,25.1,15,12,
214.3638,48.56855,0.275,6.16,7.8,25.8,32.2,18,12,
181.7807,23.90692,0.111,6.55,8.2,31.8,39.6,21,20,
119.64542,26.40106,0.211,6.49,7.83,29.3,35.9,15,14,
176.73328,59.68406,0.165,0.14745,7.56,9.38,24.8,31,14,12
141.27099,40.90441,0.216,0.20469,7.79,9.32,31.7,37.7,19,17
235.87047,48.59801,0.289,5.51,6.85,40.6,50.7,23,24,
150.39923,19.60893,0.292,5.77,7.21,22.5,27.8,17,11,
148.84201,23.00055,0.248,6.34,7.78,19.3,23.7,12,10,
124.99832,18.27481,0.259,8.51,9.94,33.1,39.3,13,12,
214.33548,34.64322,0.254,6.48,7.85,40.5,48.9,22,22,
213.3169,65.37831,0.3,0.29274,6.28,7.64,24.9,30.6,12,10
227.79388,36.60461,0.224,0.20765,7.37,8.88,24.9,29.8,16,12
135.06536,17.31992,0.3,5.96,7.53,27.2,34,17,14,
168.55556,22.88486,0.138,6.1,7.84,30.4,38.4,20,19,
183.87004,1.84024,0.257,0.24175,6.56,7.96,26.8,33.3,13,12
151.29145,25.45973,0.3,5.65,6.93,24.7,29.9,16,14,
204.6759,63.94741,0.238,0.23789,6.36,7.74,33.3,41.1,27,28
222.86362,48.31015,0.227,6.89,8.72,20.5,25.4,12,10,
199.72955,4.6137,0.273,0.27253,6.79,8.24,29.2,35.2,20,17
148.79408,62.5183,0.224,0.21229,7.53,9,23.1,27.9,14,13
159.50312,28.38831,0.289,5.69,7.12,55.1,68.2,30,37,
142.80157,-2.28644,0.235,6.48,7.91,19,23.1,14,10,
201.77554,28.7804,0.284,5.75,7.16,18.7,23.1,15,12,
211.02524,31.0872,0.157,7.88,9.54,46.2,56.3,25,26,
195.58723,36.28862,0.108,5.61,6.9,18.7,23.2,16,14,
230.06817,5.21133,0.262,6.08,7.41,32.7,40.5,22,21,
197.51703,64.33034,0.194,0.1797,7.73,9.27,40,48.5,23,23
198.53269,33.61263,0.27,6.14,7.66,15.5,19.4,14,11,
214.90459,27.9138,0.116,5.73,7.21,21,26.2,20,19,
217.25919,20.26177,0.167,5.52,7.04,16.1,20.2,16,12,
177.60214,67.92135,0.254,0.29999,4.79,6.27,14.6,18.7,12,11
196.14479,19.79299,0.235,6.59,8.11,16.8,21,12,10,
351.08424,-0.54147,0.297,0.29299,5.75,7.05,26,31.9,11,11
155.46088,5.35756,0.176,0.18318,5.9,7.45,23,29.1,19,17
134.50508,52.44092,0.275,0.2624,6.39,7.85,24.7,30.5,17,13
221.11401,1.54709,0.297,0.29712,6.77,8.3,17.2,21.4,14,10
185.49422,-1.13464,0.265,4.89,5.78,21.6,26.1,17,13,
153.69274,35.22776,0.154,7.32,8.9,21.6,26.3,12,10,
176.42485,0.39261,0.265,0.26143,5.71,7.06,24.5,30.2,15,15
179.67974,50.45312,0.192,0.19019,7.27,9.28,20.9,26.6,17,14
159.46617,40.09567,0.103,0.09236,5.4,6.91,19.7,24.8,14,12
211.16255,65.14774,0.273,0.26125,5.43,6.74,36.6,45.7,25,25
179.4898,12.21022,0.284,0.29725,5.19,6.32,30.5,36.7,22,22
168.11149,32.89026,0.2,6.94,8.7,20.9,25.8,17,15,
207.18564,13.23962,0.154,6.86,8.6,37.9,46.7,24,25,
192.24296,52.28643,0.275,0.26913,8.14,9.88,21.4,26.2,14,10
132.97764,52.90089,0.119,0.11456,5.99,7.57,22.7,28.9,20,19
191.92531,41.52713,0.159,7.34,9.23,17.9,22.3,17,13,
319.37021,0.11742,0.221,0.23368,5.42,6.7,22.3,27.3,16,15
128.80277,39.98795,0.176,0.17328,7.07,8.83,28.6,35.7,17,16
151.30354,33.4487,0.265,8.04,9.8,27.1,32.3,15,12,
11.45764,-0.85043,0.105,4.88,6.03,36.5,44.8,26,30,
48.57331,-0.60968,0.122,0.11525,6.37,7.86,21,26.4,20,17
182.24798,29.20176,0.284,6.22,7.6,21.3,26.3,13,11,
242.54159,7.62219,0.243,6.69,8.25,27.7,33.8,18,16,
156.3815,12.26231,0.189,0.18175,5.71,7.14,27.4,34,21,21
220.2704,18.85433,0.119,6.46,7.98,14.2,17.4,15,10,
128.90248,57.75537,0.251,6.38,8.1,27.6,35.2,20,16,
169.71684,-0.72141,0.259,0.21749,8.08,9.74,34.3,42.2,20,18
201.61269,29.51885,0.265,6.31,8.1,23,28.7,12,11,
195.15344,24.60451,0.254,6.51,7.83,20.6,25.2,17,11,
121.56585,19.2474,0.275,6.69,8.47,37.6,46.2,19,16,
177.96879,-0.73067,0.127,6.89,8.28,22.8,27.5,12,11,
180.26887,15.20992,0.108,4.73,5.95,21.8,27.2,24,25,
214.73548,20.9572,0.262,6.56,8.02,20.7,24.9,14,10,
229.68027,28.13734,0.248,6.45,8.04,39.9,49.2,23,23,
225.01659,-2.61394,0.267,0.29796,5.61,7.04,23,28.7,18,12
235.33479,43.66788,0.27,0.26284,5.8,7.31,17.8,21.9,13,10
111.77184,38.7704,0.216,0.21016,6.27,7.8,84.1,103.4,41,51
223.52304,5.65396,0.3,6.06,7.47,18.6,22.8,14,10,
51.26303,0.07946,0.224,0.21333,6.41,7.86,36.6,44.5,24,24
219.1834,8.61828,0.265,7.19,9.3,25.1,31.1,16,12,
216.85219,55.75026,0.127,5.98,7.59,87.1,108.7,44,65,
252.46366,25.27664,0.219,6.83,8.6,21.6,26.9,14,10,
204.4581,15.13349,0.278,7.06,8.63,19.4,23.9,15,11,
217.15938,43.64411,0.23,0.21334,8.42,10.54,42,50.9,23,23
189.39438,19.5657,0.224,7.07,8.68,18,22.3,14,12,
126.51873,12.2655,0.289,6.74,8.22,20.5,25.3,15,10,
155.23777,2.73705,0.232,0.21598,8.78,11,24.7,30.1,16,13
145.71761,2.38067,0.251,0.24113,6.6,8.04,22.4,27.7,15,12
164.85314,51.5029,0.297,0.29072,5.77,7.1,60.1,73,34,37
240.90493,40.11382,0.248,0.22585,6.3,7.64,28.5,35.2,17,15
137.22241,28.8675,0.254,4.91,6.25,38.1,47.8,23,23,
182.61058,28.06822,0.273,4.23,5.5,26.4,33.5,20,18,
176.46072,59.12508,0.297,0.28448,5.85,7.23,21.1,25.4,15,10
38.6612,-0.29637,0.254,0.24501,6.45,7.76,25.2,30.3,15,14
48.84552,-7.82482,0.262,0.26857,7.59,9.36,24.4,30,17,12
231.20355,11.30801,0.267,5.15,6.48,33.6,41.9,22,22,
253.75083,39.14667,0.14,0.13943,6.39,7.85,19.7,24.5,12,10
188.42295,39.13147,0.243,7.79,9.4,32.7,40.1,15,11,
8.10498,-10.9102,0.149,0.15708,6.24,7.76,19.2,23.8,14,13
175.78271,48.39124,0.254,0.28867,4.78,6.02,17,21.3,16,12
189.52045,42.92707,0.278,0.22467,11.16,13.65,23.1,28.3,16,10
207.96675,24.15075,0.138,6.19,7.18,21.3,25.7,13,12,
236.5741,2.23022,0.259,4.79,5.83,49.1,60.4,34,42,
151.99732,62.49811,0.132,0.13619,5.62,7.1,29,36.5,24,24
149.42724,0.91127,0.235,0.21855,7.31,8.99,17.7,21.6,15,12
154.59498,30.40108,0.14,6.75,8.34,29.5,36.5,21,21,
213.51143,21.30564,0.151,5.98,7.52,27.8,34.7,22,22,
129.8663,4.45297,0.246,0.23546,6.53,8.26,29.1,36.2,15,14
191.77265,18.89703,0.154,5.53,7.16,28.2,35.3,22,22,
185.87129,61.24823,0.243,0.22907,6.44,8.12,51.7,63.5,27,28
42.30139,-0.83508,0.251,0.27146,5.37,6.55,22,26.7,18,17
132.53659,39.94916,0.184,0.17708,7.38,9.15,26.6,32.7,19,17
180.40722,47.59638,0.267,0.26822,5.04,6.22,17,21.1,14,10
191.64265,-0.22776,0.257,0.24223,6.48,7.93,27.7,33.8,18,17
236.15984,22.69612,0.197,7.77,9.47,31.8,38.5,13,13,
241.15089,58.53299,0.294,4.93,6.15,24.9,30.9,16,12,
181.42718,-1.38585,0.178,0.1728,8.2,10.21,21.4,26.8,13,11
116.11894,40.67923,0.265,0.2272,8.8,10.82,18.5,22.5,16,11
336.42511,1.06588,0.292,0.29575,4.66,5.77,48.1,59.1,28,29
125.44007,30.30201,0.251,0.24429,5.8,6.96,42.9,52.5,21,21
246.3474,51.8637,0.281,5.95,7.59,42.3,51.9,24,25,
225.01617,28.05535,0.197,7.44,8.92,39.1,46.9,19,18,
130.3996,8.57479,0.294,0.29791,5.62,7.15,21.9,27.2,15,12
250.12238,32.0904,0.138,0.14016,6.97,8.78,16.7,21.3,14,12
224.09775,62.56826,0.292,0.27002,7.64,9.28,22.8,27.9,16,13
176.93124,7.01451,0.103,5.21,6.21,32.3,39.7,18,16,
226.9247,51.36084,0.265,0.26701,6.02,7.5,29.5,36.6,16,15
225.64553,8.55478,0.251,6.64,8.35,23.2,28.5,15,11,
181.96895,27.40978,0.17,7,8.69,37.3,46,27,29,
207.79059,21.37562,0.297,5.01,6.31,67.3,82.8,36,47,
328.29281,13.10425,0.243,0.24057,7.48,9.24,23.6,28.6,15,12
144.94969,38.06435,0.246,0.23292,6.37,7.84,26.3,31.9,17,12
146.60812,64.58767,0.13,5.71,7.32,22.3,28.5,19,18,
148.15491,69.62668,0.246,6.08,7.73,26.3,32.9,18,13,
193.39211,50.90396,0.124,0.12221,5.76,7.27,33.8,42.4,26,27
196.68599,10.59451,0.176,8.72,10.62,22.6,27.6,13,13,
17.55915,-10.0491,0.289,5.4,6.61,19.8,24.6,17,15,
181.86683,31.35601,0.232,5.48,6.71,22.3,27.4,18,15,
179.51329,-1.57954,0.265,0.27093,4.83,6.34,15.2,19.6,14,10
219.85149,14.0058,0.127,5.5,6.76,21.6,27,19,18,
244.39113,45.09879,0.3,0.30082,5.52,6.83,18.6,23.6,14,10
164.93565,52.38836,0.251,0.2478,6.28,7.83,21.2,26.8,19,17
123.29102,55.96343,0.275,6.05,7.45,29.6,36.4,21,20,
196.29827,-0.08897,0.167,0.17102,6.83,8.54,16.8,20.9,17,12
207.50257,29.78882,0.248,6.97,8.5,20.5,25.5,16,12,
151.42945,5.81603,0.13,0.12391,5.99,7.36,29.4,36.6,21,21
249.0743,49.21761,0.135,6.51,8.03,25.3,31.3,15,13,
19.85984,-0.74364,0.227,0.21715,6.6,8.09,15.2,18.6,14,10
176.46344,16.06822,0.227,6.97,8.63,21.8,26.8,14,10,
229.87462,8.66733,0.297,5.32,6.62,31.9,39.7,19,19,
125.82567,24.48328,0.257,0.24458,5.78,7.23,27.6,34.7,16,13
131.86231,50.92662,0.119,0.07674,6.89,9.13,21.5,27.3,13,11
164.56855,35.65119,0.227,7.13,9.31,16.5,20.6,13,10,
217.06619,16.03834,0.132,6.21,7.69,16.7,20.9,14,11,
244.03709,13.02277,0.194,6.34,7.74,33.7,41.5,18,16,
145.05644,8.61136,0.13,0.13636,5.11,6.57,39.2,49.7,31,35
137.91396,3.0954,0.238,0.24318,7.15,8.87,32.6,39.6,20,16
249.8985,47.07569,0.227,0.23401,6.26,7.77,115.9,143.4,48,84
173.33062,-3.0137,0.111,6.36,7.76,21.6,27.4,17,14,
162.43479,27.46901,0.265,6.01,7.42,28.3,34.4,20,20,
150.12433,59.11651,0.2,0.20004,6.72,8.47,17.9,22.4,16,14
189.68539,14.66316,0.262,6.48,7.96,20.6,25.2,13,10,
147.42354,49.1507,0.221,0.20313,6.59,8.17,20.4,25.5,18,14
205.28326,2.44555,0.257,0.26003,6.22,7.73,20.8,25.7,14,12
236.77823,19.26369,0.3,8.12,9.77,36,43.3,13,11,
135.34849,24.76321,0.278,5.6,7.05,59,74,31,44,
235.42397,14.64479,0.286,7.17,8.67,35.8,44,25,25,
132.93053,38.94977,0.17,0.16495,7.33,9.03,21.3,26.1,14,13
209.7999,13.72422,0.173,6.5,7.93,31.3,38.3,20,20,
206.08104,57.22534,0.135,0.09583,9.21,11.17,29.2,36,19,18
230.51737,29.15296,0.111,4.7,5.89,28,34.9,22,22,
236.4951,11.95769,0.208,6.04,7.38,27.3,33.5,19,16,
221.18794,19.13649,0.192,7.3,8.88,40.1,49.1,24,25,
136.58096,0.26426,0.205,0.20209,7.12,9.05,20,25.4,13,10
170.54928,38.01066,0.116,5.74,7.34,29.8,37.3,17,15,
211.94472,41.71286,0.221,7.36,9.04,18.8,22.9,16,11,
236.24169,9.58668,0.224,5.18,6.69,43.4,54.2,23,23,
123.83296,22.49939,0.251,8.3,10.44,24.4,30.3,15,14,
150.21758,68.56865,0.257,6.68,8.17,28.6,34.8,16,15,
137.27556,29.10916,0.262,7.14,8.92,22.1,27.6,15,12,
54.5044,-6.75325,0.157,0.15086,6.6,8.14,14.4,17.9,14,10
233.64973,29.31374,0.219,6.77,8.19,53.3,64.5,23,23,
345.86207,13.27618,0.246,0.26725,4.65,5.84,15.4,19.1,13,13
193.77772,66.56965,0.224,0.22419,6.98,8.67,19.4,24,14,10
219.79266,12.95977,0.159,6.33,8.01,24.9,31.5,19,17,
142.70944,56.07258,0.211,0.21899,6.45,7.96,15.3,19.3,12,10
230.67897,43.60393,0.227,8.94,10.8,20.4,24.9,14,10,
203.48726,25.31195,0.3,5.44,6.57,19,23.1,15,12,
134.32908,64.69978,0.211,5.53,6.8,23.4,28.5,18,17,
150.90267,9.06986,0.267,0.25703,6.71,8.05,31,38.3,19,15
193.15447,28.70666,0.281,6.11,7.55,19.6,23.9,14,10,
326.08671,12.68517,0.286,0.28582,5.4,6.79,18.6,23.3,15,11
146.76139,9.72784,0.181,0.18683,5.93,7.36,47,58.4,26,29
122.26362,17.48003,0.273,5.16,6.36,23.7,29.4,16,15,
225.05849,44.26789,0.284,0.27873,4.63,5.87,27.4,34.3,18,17
223.13239,19.23025,0.119,5.82,7.3,18.1,22.5,12,12,
184.18167,25.15312,0.284,5,6.05,18.2,22.2,15,10,
220.19213,20.05219,0.248,5.36,6.74,29.1,36.4,21,21,
319.67792,0.53503,0.246,0.27094,6.65,7.96,64,78.8,36,49
215.62196,1.43498,0.267,5.66,6.96,44.1,54.6,24,24,
193.68841,-3.11426,0.192,0.17188,8.65,10.7,21.3,26.2,12,10
167.24553,50.34836,0.119,0.11563,6.35,7.94,19.5,24.5,17,13
184.11666,35.63948,0.257,5.11,6.28,24.9,31.5,22,22,
334.74145,-9.27348,0.186,0.18498,6.28,7.77,33.9,42.1,20,19
178.75199,-1.4311,0.165,0.16347,6.76,8.45,27.7,34.6,19,18
141.07821,10.7805,0.289,0.26105,6.45,7.64,21.6,25.5,15,12
173.34488,-1.03914,0.273,0.25006,6.37,7.76,20.7,25.3,14,13
19.66956,13.66282,0.262,0.23925,5.62,7.64,26.2,34.1,15,14
153.02626,12.52121,0.286,0.2855,5.64,6.92,18.9,23,11,11
227.7214,42.10854,0.259,0.2446,6.83,8.43,21.2,26.4,14,13
153.72765,22.35056,0.262,5.79,6.96,32.3,38.7,21,20,
221.63248,44.91188,0.267,0.26255,6.14,7.48,34.6,42.5,20,19
200.52796,49.6932,0.267,0.27926,5.72,7.16,36.2,44.7,19,19
162.91303,29.17646,0.227,5.95,7.74,19.8,25.2,17,16,
197.68648,34.92403,0.294,7.17,8.89,24.5,30.3,16,12,
159.13937,45.13372,0.181,0.1817,6.49,8.17,24.8,31.3,18,16
225.63349,-1.6937,0.292,4.69,5.71,48.7,60.6,29,31,
153.5099,39.09434,0.281,0.26333,9.25,11.28,18.9,23.4,11,10
148.78049,9.58779,0.149,0.14632,6.45,8.28,37.4,46.8,27,28
179.96549,23.15071,0.251,6.47,7.87,41.9,51.4,24,25,
146.34891,21.8534,0.257,5.81,7.21,14.9,18.4,16,11,
172.04177,5.19554,0.203,0.19392,7.7,9.34,18.8,23.4,14,10
167.57778,28.72016,0.224,7.01,8.61,23.4,28.7,12,10,
216.99728,34.92033,0.192,0.18734,6.97,8.78,20.9,26,12,11
140.53386,11.74152,0.294,0.33314,6.62,8.49,25.6,32.6,15,13
224.78062,17.4943,0.227,7.13,8.7,30,37.2,22,22,
180.06297,12.82805,0.232,6.48,8.04,27.6,34.4,17,14,
210.74662,24.48022,0.292,6.3,7.72,20.5,25.4,17,11,
219.65285,9.74255,0.294,4.89,6.12,24.8,30.4,14,12,
230.07496,5.22649,0.108,5.31,6.62,28.1,34.9,21,21,
151.82638,40.16426,0.289,0.2965,5.24,6.57,19.3,23.9,14,11
177.50824,26.51845,0.113,5.94,7.38,15.9,19.6,13,10,
136.11796,41.66146,0.189,6.98,8.73,25.3,31.2,20,19,
215.83646,0.27788,0.135,0.13967,5.6,7.16,17.3,21.9,16,15
181.68485,11.17099,0.116,5.46,6.75,19.6,24.1,15,14,
137.01528,27.15395,0.265,5.03,6.42,17.8,22.2,19,14,
153.46158,34.71421,0.146,6.24,7.75,39.4,49.4,26,29,
122.76863,24.39124,0.267,0.2686,5.5,6.76,28.7,35.7,20,17
144.29392,39.11028,0.265,0.28538,5.07,6.82,24.8,32,19,17
213.88938,29.13544,0.17,7.5,9.19,21.5,26.5,12,10,
150.52481,48.39167,0.275,0.25104,6.82,8.56,17.1,21.8,15,11
215.04496,1.61751,0.194,0.19214,5.91,7.22,18.3,22.8,10,10
134.72842,33.37332,0.24,0.22714,5.82,7.03,38.1,46.7,23,24
187.01053,39.57734,0.275,4.98,6.04,24.3,29.7,17,15,
32.3702,-0.20685,0.167,0.15198,7.81,9.58,23.4,28.7,18,13
194.5223,5.32846,0.286,0.32498,4.46,5.58,22.5,28,18,14
247.10237,23.01892,0.213,0.20804,5.95,7.41,35.6,43.8,25,26
216.71778,43.90586,0.159,0.14253,8.48,10.28,23.4,28.3,14,12
129.13428,44.62254,0.149,7.33,9.2,25.5,31.5,19,17,
165.59667,-0.18403,0.267,0.2543,5.82,7.17,29.9,37.3,18,15
233.32492,15.5899,0.132,6.68,8.29,18.2,22.5,18,15,
246.39258,14.2867,0.297,6.35,7.74,46.6,57.7,23,23,
216.91937,11.72954,0.165,7.85,9.68,19.1,23.8,14,11,
222.49223,-0.33082,0.257,0.25116,6.33,8.07,32.8,40.4,19,19
139.48051,8.15912,0.257,0.26447,6.91,8.51,21.8,27.3,16,13
246.93721,21.80797,0.149,10.4,11.98,34,40.4,18,15,
149.82134,25.9217,0.2,7.03,8.82,36.5,45.3,18,17,
228.23703,30.30453,0.105,5.06,6.44,14.6,18.6,13,11,
173.19065,35.12997,0.219,5.55,6.75,13.5,16.8,15,10,
205.43577,65.91398,0.208,0.22428,5.22,6.63,16.5,20.7,18,15
250.4191,22.01506,0.146,0.15314,5.42,6.86,56.5,70.3,36,42
181.62656,1.82071,0.289,0.29588,5.13,6.42,29.2,36.1,18,17
230.11171,28.88635,0.122,5.1,6.39,58.5,73.7,35,48,
9.12409,0.58899,0.254,0.26077,6.01,7.4,20.1,24.6,13,10
238.72708,21.57737,0.254,5.85,7.29,25.3,32,19,17,
218.24684,16.02533,0.265,6.03,7.28,23.2,28.4,14,14,
199.04718,19.23469,0.262,4.85,6.13,20.8,25.9,17,16,
145.11492,24.93985,0.3,5.9,7.39,20.7,26,12,10,
215.62233,59.02425,0.149,7.72,9.43,22,27.1,12,10,
181.82759,46.72754,0.103,5.18,6.4,18.8,23.1,17,16,
250.25354,32.73271,0.13,0.13743,5.83,7.36,27.5,34.8,21,18
252.33401,37.86566,0.159,0.16444,6.37,7.98,28.3,35.1,22,21
234.5352,8.81027,0.262,6.45,8.02,22.5,27.8,15,12,
146.07761,27.47613,0.278,6.75,8.41,30.9,37.3,17,17,
179.19994,28.56312,0.284,6.34,7.67,19.5,23.8,14,11,
234.45296,39.58448,0.211,0.20259,7.19,8.67,19.6,24.1,15,10
170.97447,2.71596,0.267,0.26282,6.01,7.34,28.3,34.9,15,13
212.02074,27.4182,0.165,6.98,8.61,33,40.9,19,18,
232.82556,23.60675,0.211,8.02,10.18,23.7,29.9,15,12,
