RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
140.62136,54.99638,0.184,0.18362,13.11,16.3,62,77.7,32,37
173.86122,31.8924,0.238,11.32,14.07,81,99,35,41,
134.47509,3.17644,0.211,14.61,17.12,110,132.7,42,52,
196.6904,46.55854,0.235,0.21835,13.46,15.93,196.2,233.3,70,106
234.96158,30.71778,0.108,0.09713,9.1,11.66,51.1,63.9,36,43
172.50542,12.93807,0.257,0.24552,10.7,12.69,96.9,117.1,44,58
147.55048,21.64768,0.281,20.7,24.55,78.5,94.8,32,39,
153.79369,32.53078,0.289,11.65,14.58,69.1,86.1,32,38,
175.63287,25.46749,0.2,15.72,19.84,68.4,83.5,30,39,
13.4758,-9.47304,0.273,0.26993,10.24,12.3,57.8,70.1,29,34
218.8686,55.13113,0.132,0.13986,8.49,10.85,93.4,118.4,51,73
259.6312,30.04686,0.292,10.35,12.93,119.2,145.7,35,46,
153.43707,-0.12022,0.105,9.91,12.4,53,66.2,25,28,
224.86564,3.34604,0.292,0.27149,20.35,25.41,77.4,95.6,29,31
154.57281,12.15625,0.243,0.24056,14.98,18.19,60.4,73.5,31,33
355.32093,-9.01993,0.257,0.25118,8.45,10.61,117.1,142.9,55,76
226.40856,47.10485,0.262,0.26648,10.27,13.05,89.5,110.4,35,44
240.36701,53.94738,0.103,0.06544,13.15,16.48,75.1,94.7,38,46
168.80165,4.30799,0.3,0.30412,9.42,11.59,69.3,86.3,35,39
221.98726,14.75906,0.216,13.66,17.27,77.6,95.9,32,36,
231.6075,1.95904,0.3,11.49,14.5,58.5,73.8,29,35,
253.68034,40.04623,0.157,9.84,12.22,106.5,131,44,58,
133.51888,29.05354,0.105,0.08435,11.19,14.17,72.4,90.9,34,42
161.60635,59.62691,0.243,0.2282,14.6,18.09,71.9,87.9,32,37
135.43706,-1.63947,0.294,9.77,12.25,88.7,111.6,38,60,
202.54458,30.72519,0.297,10.94,13.92,88.8,110.5,42,46,
224.64001,47.49761,0.103,0.08545,12.42,15.46,66,82.4,34,48
55.6777,-0.28565,0.294,9.14,11.25,81.4,101.3,42,56,
237.13184,11.36358,0.23,12.41,15.45,107.7,134.1,50,69,
182.04419,24.44699,0.267,12.94,15.8,50.1,61.1,25,26,
233.84051,37.39606,0.149,0.15365,8.23,10.23,89.5,112.2,49,71
196.95515,29.43007,0.265,17.83,21.73,72.3,87.3,30,34,
245.5016,17.17794,0.257,10.84,13.71,92.8,112.4,36,44,
228.15744,34.85988,0.151,13.17,16.72,49.6,62.5,24,25,
246.4259,51.76136,0.297,11.64,13.98,52.1,63.6,29,31,
218.00413,29.54814,0.221,11.66,14.37,93.9,115.5,43,56,
126.21948,8.49703,0.2,0.18944,12.38,15.26,50.5,61.9,29,29
217.52837,20.59507,0.254,12.61,15.79,44.4,55.3,24,24,
225.36773,21.57329,0.275,12.92,16.26,71,88.2,31,36,
183.87803,27.50607,0.192,16.56,20.32,73.5,90.5,34,40,
223.79535,62.97035,0.294,0.29048,10.69,13.85,73.1,92.8,30,37
201.45733,59.33023,0.162,0.15087,9.55,12.62,86.1,107.9,46,67
321.2933,-6.96355,0.122,9.01,11.23,89.6,111.5,41,51,
186.45179,7.97147,0.248,9.48,11.82,60,74.5,32,39,
254.30249,39.33831,0.157,18.79,24.27,73.5,92,33,39,
248.03079,21.76725,0.186,11.99,14.52,102.8,126.3,38,51,
171.31837,42.48676,0.205,0.18815,18.09,22.62,67,83.5,31,33
148.4757,22.31404,0.281,12.63,15.1,106.4,129.9,41,53,
197.5925,21.8349,0.27,9.14,11.22,83.3,102.5,39,48,
132.07073,28.70582,0.211,0.19956,10.71,13.15,69.3,85.3,30,37
190.85294,27.28038,0.203,17.58,21.34,61,74.9,32,41,
221.03776,0.17848,0.286,0.29646,10.9,13.83,62.9,79.6,31,42
143.0359,29.06782,0.281,7.13,9.05,133.4,166,55,80,
137.71918,64.06077,0.224,14.82,18.91,53,66.1,23,23,
143.86434,7.50727,0.219,0.21527,10.13,12.37,82.5,102,36,51
143.61166,24.17659,0.294,8.1,10.12,62.2,76.8,32,35,
124.51612,54.61903,0.132,13.72,17.54,53.8,67.8,24,25,
205.13603,22.66919,0.273,10.92,13.31,79.3,95.5,38,47,
188.30862,67.12878,0.119,9.49,12.22,64,80.4,33,39,
131.73765,24.95805,0.262,11.1,13.33,65.2,80.4,27,31,
322.41649,0.0892,0.251,0.23393,18.65,22.62,103.4,124.3,34,49
